rodada upp submitted finished preempted notStarted submittedTasks finishedTasks success sumOfJobsMakespan sumOfTasksMakespan finishedCost preemptedCost totalCost costByTask nPeers nMachines instance limit group groupedCloudUser utilization realUtilization goodput badput avTime cost hostname ipaddress simulationDuration simulationDurationF
1 5 29 29 0 0 89834 89834 1.0000 328711 1154076646 836.3240 0.0000 836.3240 0.0093 50 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:06:41.181 401181
1 5 29 29 0 0 89834 89834 1.0000 1137096 5612683370 684.8920 0.0000 684.8920 0.0076 50 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:53.486 113486
1 5 29 29 0 0 89834 89834 1.0000 4289366 22717451667 707.5950 0.0000 707.5950 0.0079 50 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:33.713 93713
1 5 29 29 0 0 89834 89834 1.0000 647649 2825325352 808.1840 0.0000 808.1840 0.0090 50 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:38.536 98536
1 5 29 29 0 0 89834 89834 1.0000 398603 1738919127 693.7300 0.0000 693.7300 0.0077 50 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:23.801 83801
1 5 29 29 0 0 89834 89834 1.0000 252870 887832505 806.0600 0.0000 806.0600 0.0090 50 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:40.282 100282
1 5 29 29 0 0 89834 89834 1.0000 697733 3436047618 1246.2875 0.0000 1246.2875 0.0139 50 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:40.222 100222
1 10 125 125 0 0 300391 300391 1.0000 3188977 11092344516 4741.9210 0.0000 4741.9210 0.0158 100 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:19:24.455 1164455
1 10 125 125 0 0 300391 300391 1.0000 1242892 2901423830 6137.4510 0.0000 6137.4510 0.0204 100 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:12:49.501 769501
1 10 125 125 0 0 300391 300391 1.0000 4030432 13884165064 14104.3010 0.0000 14104.3010 0.0470 100 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:16:53.920 1013920
1 10 125 125 0 0 300391 300391 1.0000 16095236 58309578944 12901.7290 0.0000 12901.7290 0.0429 100 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:11:57.933 717933
1 10 125 125 0 0 300391 300391 1.0000 2334931 7041678108 12721.5800 0.0000 12721.5800 0.0424 100 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:13:12.665 792665
1 10 125 125 0 0 300391 300391 1.0000 1433899 4333477677 14448.0970 0.0000 14448.0970 0.0481 100 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:13:44.590 824590
1 10 125 125 0 0 300391 300391 1.0000 954245 2231775879 17298.5690 0.0000 17298.5690 0.0576 100 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:19:21.605 1161605
1 10 125 125 0 0 300391 300391 1.0000 2436939 8525312310 11019.1380 0.0000 11019.1380 0.0367 100 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:13:09.221 789221
1 10 73 73 0 0 199007 199007 1.0000 2464790 8955296493 3395.0640 0.0000 3395.0640 0.0171 50 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:19:38.861 1178861
1 10 73 73 0 0 199007 199007 1.0000 845451 2121164250 1792.2330 0.0000 1792.2330 0.0090 50 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:09:28.402 568402
1 10 73 73 0 0 199007 199007 1.0000 3110808 11306446090 1510.2620 0.0000 1510.2620 0.0076 50 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:02:18.079 138079
1 10 73 73 0 0 199007 199007 1.0000 13359021 52426649467 1464.0360 0.0000 1464.0360 0.0074 50 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:02:38.313 158313
1 10 73 73 0 0 199007 199007 1.0000 1716359 5512524671 2697.8160 0.0000 2697.8160 0.0136 50 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:02:05.147 125147
1 10 73 73 0 0 199007 199007 1.0000 1021125 3283320874 2324.0750 0.0000 2324.0750 0.0117 50 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:55.984 115984
1 10 73 73 0 0 199007 199007 1.0000 642650 1587215743 1783.1800 0.0000 1783.1800 0.0090 50 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:59.106 119106
