costMean costLower costUpper mkspMean mkspLower mkspUpper nPeers nMachines upp instance limit
  120.6038999999999958845    45.15183367088341270801   196.0559663291165861665  29405.335714285713038407  12365.640897932242296520  46445.030530639181961305  50 30  1 c1.medium 100
  133.5089999999999861302    66.84928699749228542260   200.1687130025076726270  11016.850000000000363798   6317.959318255654579843  15715.740681744346147752  50 30  1 c1.xlarge 100
  102.0889999999999986358    50.22970481533522502104   153.9482951846647438288  36786.636904761908226646  15486.742248640486650402  58086.531560883326164912  50 30  1 m1.large 100
  104.0808999999999997499    49.39104831574995557730   158.7707516842500581333 141367.642261904751649126  53413.982718790168291889 229321.301805019349558279  50 30  1 m1.small 100
  130.3368000000000108685    46.22411121020893887135   214.4494887897911041819  21239.982142857141298009  10281.844965638705616584  32198.119320075576979434  50 30  1 m1.xlarge 100
  135.0695000000000050022    60.89672071365033190204   209.2422792863496852078  13043.305952380951566738   6299.006435320411583234  19787.605469441492459737  50 30  1 m2.2xlarge 100
  118.6179000000000058890    65.31566760299409679646   171.9201323970059149815   8474.958928571428259602   4860.110731426942948019  12089.807125715911752195  50 30  1 m2.4xlarge 100
  127.5010000000000047748    68.22097003215601773718   186.7810299678440060234  22591.814285714284778805   9484.352087614352058154  35699.276483814210223500  50 30  1 m2.xlarge 100
  912.8069000000000414730   424.27454921361731976504  1401.3392507863825358072  31997.247243599966168404  25452.053418937834067037  38542.441068262094631791  50 30  5 c1.medium 100
 1006.8741199999999480497   642.75748574681040281575  1370.9907542531896069704  11150.073308474024088355   9939.231744494232771103  12360.914872453813586617  50 30  5 c1.xlarge 100
  654.3731999999999970896   493.76553423523114361160   814.9808657647689642545  40548.911246327603294048  32000.112528987883706577  49097.709963667322881520  50 30  5 m1.large 100
  623.1917999999999437932   444.35066650895089424012   802.0329334910489933463 169912.234452321106800810 129739.784628272973350249 210084.684276369225699455  50 30  5 m1.small 100
  801.1014000000000123691   599.52029151355816338764  1002.6825084864418613506  22208.116662784566869959  18559.986279268581711221  25856.247046300552028697  50 30  5 m1.xlarge 100
  931.0240999999999758074   679.49640990136606433225  1182.5517900986337735958  13399.595680077014549170  11481.856457934252830455  15317.334902219776267884  50 30  5 m2.2xlarge 100
  805.2163000000000465661   595.77787661547108655213  1014.6547233845290065801   8545.915695561510801781   7649.949639705650952237   9441.881751417369741830  50 30  5 m2.4xlarge 100
  922.8969000000000733053   646.60858867396370897040  1199.1852113260363239533  24236.858753254149632994  19531.813135104566754308  28941.904371403732511681  50 30  5 m2.xlarge 100
 2023.7526000000000294676  1519.60405971204204433889  2527.9011402879582419700  35483.022018896757799666  29593.703856116386305075  41372.340181677129294258  50 30 10 c1.medium 100
 2315.6069800000000213913  1592.45164739570418532821  3038.7623126042963122018  11887.648376823195576435  10526.067614684247018886  13249.229138962144133984  50 30 10 c1.xlarge 100
 1452.0843999999999596184  1142.57940670752327605442  1761.5893932924768705561  44998.937622930046927650  37516.726610551966587082  52481.148635308127268218  50 30 10 m1.large 100
 1364.4645000000000436557  1074.22606158142821186630  1654.7029384185718754452 191325.267362940270686522 163360.088926433119922876 219290.445799447421450168  50 30 10 m1.small 100
 2364.2226000000000567525  1541.86140613217980899208  3186.5837938678200771392  24395.368251386924384860  20834.975321934663952561  27955.761180839184817160  50 30 10 m1.xlarge 100
 1773.4760999999998603016  1358.80296365443518880056  2188.1492363455645318027  14665.635812273338160594  12556.304279363390378421  16774.967345183285942767  50 30 10 m2.2xlarge 100
 1844.7037000000000261934  1457.92975793594814604148  2231.4776420640523610928   9083.090675626781376195   8041.465953362922846281  10124.715397890638996614  50 30 10 m2.4xlarge 100
 1882.3253499999998439307  1381.51281059056464073365  2383.1378894094355018751  26834.638393992481724126  22400.270142626493907301  31269.006645358473178931  50 30 10 m2.xlarge 100
  469.2926999999999679858   338.52097568822432549496   600.0644243117756104766  33283.029278499278007075  24117.531420772684214171  42448.527136225871799979 100 30  1 c1.medium 100
  807.6388500000000476575   439.71554891978365731120  1175.5621510802163811604  11074.006998556998951244   8647.114776376840382000  13500.899220737155701499 100 30  1 c1.xlarge 100
 1194.5978000000000065484   882.58653755515570082935  1506.6090624448443122674  41926.176681096680113114  30261.817930624227301450  53590.535431569129286800 100 30  1 m1.large 100
 1207.9909000000000105501   762.63527150843685831205  1653.3465284915632764751 170959.961832611821591854 119613.926643081591464579 222305.997022142051719129 100 30  1 m1.small 100
 1282.3993000000000392902   928.40968821479771122540  1636.3889117852027084155  22671.335238095238310052  16947.445864282126422040  28395.224611908346560085 100 30  1 m1.xlarge 100
 1500.9592999999999847205  1078.06839363912422413705  1923.8502063608759726776  13772.888961038961497252  10293.449247488999390043  17252.328674588927242439 100 30  1 m2.2xlarge 100
 1880.5291099999999460124  1318.38572102312605238694  2442.6724989768740670115   8491.173535353535044123   6641.282589779777481453  10341.064480927292606793 100 30  1 m2.4xlarge 100
 1065.3611000000000785803   777.45051610509290185291  1353.2716838949070279341  25307.477748917750432156  18405.702063086402631598  32209.253434749098232714 100 30  1 m2.xlarge 100
 3003.3312999999998282874  2572.68100410109036602080  3433.9815958989088358067  35945.314093473687535152  30989.264840088719211053  40901.363346858655859251 100 30  5 c1.medium 100
 4261.6729599999998754356  3689.81988747775540105067  4833.5260325222443498205  11875.696855222076919745  10787.086690968784751021  12964.307019475370907458 100 30  5 c1.xlarge 100
 7842.8759000000000014552  7039.84083480471053917427  8645.9109651952894637361  45749.468326111586065963  39263.947944313105836045  52234.988707910059019923 100 30  5 m1.large 100
 6673.7318000000004758476  5593.55703447514315485023  7753.9065655248577968450 192142.331015597272198647 160015.770503058243775740 224268.891528136300621554 100 30  5 m1.small 100
 8179.0585000000000945874  7184.30998124826874118298  9173.8070187517314479919  24570.188241524061595555  21639.219407802171190269  27501.157075245952000841 100 30  5 m1.xlarge 100
 9243.3636000000005878974  8014.05412118081585504115 10472.6730788191871397430  14804.617399098691748804  13117.495517673076392384  16491.739280524307105225 100 30  5 m2.2xlarge 100
11390.2792000000008556526  9775.24627559404325438663 13005.3121244059566379292   9063.376519827117590467   8248.327586895991771598   9878.425452758245228324 100 30  5 m2.4xlarge 100
 7003.2511000000004059984  6209.32771770743147499161  7797.1744822925684275106  27175.673473707272933098  23484.316993640615692129  30867.029953773926536087 100 30  5 m2.xlarge 100
 5713.8244000000004234607  5123.91145520191184914438  6303.7373447980899072718  37854.879705659965111408  33871.508310918703500647  41838.251100401233998127 100 30 10 c1.medium 100
 7966.9744000000000596629  7272.61059465006110258400  8661.3382053499371977523  12078.949415314495126950  11354.871058221122439136  12803.027772407865995774 100 30 10 c1.xlarge 100
14644.6643999999996594852 13255.89178349835492554121 16033.4370165016443934292  48214.525894696358591318  42979.395182031592412386  53449.656607361132046208 100 30 10 m1.large 100
13703.9248000000006868504 11984.70615280662059376482 15423.1434471933789609466 201750.356705055251950398 174364.439167942939093336 229136.274242167535703629 100 30 10 m1.small 100
15881.9259999999994761311 13903.17505551634349103551 17860.6769444836536422372  25524.101617640520998975  23332.663473824413813418  27715.539761456628184533 100 30 10 m1.xlarge 100
18049.8915999999990162905 16245.10716117761512577999 19854.6760388223847257905  15163.743489658805629006  13939.148143042097217403  16388.338836275514040608 100 30 10 m2.2xlarge 100
21894.4494000000013329554 19119.48809808293299283832 24669.4107019170623971149   9211.583140556964281132   8667.079606744699049159   9756.086674369229513104 100 30 10 m2.4xlarge 100
13269.6034999999992578523 11952.98932585413786000572 14586.2176741458606556989  28454.588454566699510906  25589.906699195125838742  31319.270209938273183070 100 30 10 m2.xlarge 100
