rodada upp submitted finished preempted notStarted submittedTasks finishedTasks success sumOfJobsMakespan sumOfTasksMakespan finishedCost preemptedCost totalCost costByTask nPeers nMachines instance limit group groupedCloudUser utilization realUtilization goodput badput avTime cost hostname ipaddress simulationDuration simulationDurationF
4 10 66 66 0 0 285791 285791 1.0000 2432853 8492297316 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.6567315455565698 0.7048966245529346 519165022 38075869 790528528 5648307.820812001 garoupinha 150.165.85.240 6:40:30.477 24030477
5 1 7 7 0 0 18612 18612 1.0000 64658 79220231 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.02834737091554247 0.030509982176323686 34588174 2638720 1220154564 571701.985506 garoupinha 150.165.85.240 0:07:18.358 438358
5 1 4 4 0 0 25500 25500 1.0000 80412 165799836 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.08069593187363698 0.08525647875784356 44852286 2534836 555818428 561676.276062 garoupinha 150.165.85.240 0:05:05.557 305557
5 5 72 72 0 0 186573 186573 1.0000 861750 792343831 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.21457287091907334 0.229559450613237 334305948 23349190 1558006595 3800193.9642675007 cofre 127.0.1.1 1:54:40.378 6880378
5 5 34 34 0 0 110893 110893 1.0000 577810 886494829 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.2684790905920412 0.2885549416000586 204383177 15283001 761262922 2301445.438713 garoupinha 150.165.85.240 0:35:29.022 2129022
5 10 125 125 0 0 373698 373698 1.0000 1883611 2660891112 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.44721251582983235 0.4802537717810539 687736016 50811775 1537828195 7567671.5253675 lambaru 127.0.1.1 6:21:01.804 22861804
5 10 74 74 0 0 317986 317986 1.0000 2735174 8984815560 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.7716868117350083 0.8318285333545223 595615510 46419534 771835803 6484657.5967995 garoupinha 150.165.85.240 7:11:09.069 25869069
6 1 11 11 0 0 34004 34004 1.0000 150632 102835496 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.038644384660370616 0.041317210619632616 58548667 4049499 1515062732 871979.7882780001 garoupinha 150.165.85.240 0:06:32.908 392908
6 1 8 8 0 0 21607 21607 1.0000 116244 97274201 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.07278884625810941 0.07825277532124349 41192361 3092124 565915839 532641.3886935001 garoupinha 150.165.85.240 0:02:23.345 143345
6 5 53 53 0 0 162872 162872 1.0000 760221 804896091 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.19150709312273606 0.20482850239460132 297693597 20707840 1554478177 3410994.8427705006 cofre 127.0.1.1 1:48:58.045 6538045
6 5 19 19 0 0 50070 50070 1.0000 265018 279444269 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.12572887628065368 0.13508166195250862 95671960 7116896 760938639 1144305.9577935 garoupinha 150.165.85.240 0:07:38.560 458560
6 10 136 136 0 0 408597 408597 1.0000 2601383 4694826665 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.47261154714954623 0.5069906557129329 750604708 54601122 1588206451 8235974.0910915 lambaru 127.0.1.1 12:35:13.939 45313939
6 10 45 45 0 0 101677 101677 1.0000 600125 664879068 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.24139224857569383 0.25858748642568324 177366436 12634449 734764422 2003347.0377630002 garoupinha 150.165.85.240 0:24:42.037 1482037
7 1 18 18 0 0 56313 56313 1.0000 219433 295869556 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.07069990889826643 0.07522032839607996 99112324 6337056 1401873433 1277360.7885945 garoupinha 150.165.85.240 0:25:47.425 1547425
7 1 4 4 0 0 15261 15261 1.0000 54733 115781940 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.04294734109540073 0.04620184496459727 27495569 2083585 640215862 399429.56562300003 garoupinha 150.165.85.240 0:04:13.043 253043
7 5 89 89 0 0 262433 262433 1.0000 1123561 1276891984 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.31072597515281264 0.33234607670159955 478337066 33282367 1539417700 5321345.43375 cofre 127.0.1.1 3:11:34.610 11494610
7 5 30 30 0 0 107162 107162 1.0000 524848 1415701476 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.2422662551968088 0.25990393044030713 190179655 13845622 785002661 2150553.1853565 garoupinha 150.165.85.240 1:06:19.236 3979236
7 10 112 112 0 0 342437 342437 1.0000 1932050 4596115352 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.39045121134942057 0.41770417765339085 615137797 42935786 1575453678 6777241.509087001 lambaru 127.0.1.1 11:35:45.521 41745521
7 10 74 74 0 0 212595 212595 1.0000 1236993 1951994209 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.4806979294143546 0.5161815121081146 375204468 27696393 780541053 4118678.6092245006 garoupinha 150.165.85.240 1:10:49.384 4249384
8 1 10 10 0 0 13772 13772 1.0000 73422 37038634 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.018413722670862838 0.019866319581420145 26497994 2090338 1439035141 522623.8377765 garoupinha 150.165.85.240 0:01:22.684 82684
8 1 4 4 0 0 4517 4517 1.0000 49412 9086772 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.010694336627392333 0.011352756608971944 7516799 462788 702876603 196026.86569950002 garoupinha 150.165.85.240 0:00:05.532 5532
8 5 61 61 0 0 186980 186980 1.0000 807862 922170368 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.22475443979210838 0.2397993732381478 333713313 22338578 1484790749 3772131.3806085 cofre 127.0.1.1 1:56:11.541 6971541
8 5 30 30 0 0 109893 109893 1.0000 515446 1499610320 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.2570389520202262 0.27634067837209053 193223402 14509650 751728096 2181719.942784 garoupinha 150.165.85.240 1:12:35.100 4355100
8 10 117 117 0 0 382791 382791 1.0000 2223033 3841430775 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.46743274980407595 0.5023851982681296 707836894 52928753 1514307447 7783712.095225501 lambaru 127.0.1.1 9:46:24.712 35184712
8 10 45 45 0 0 154288 154288 1.0000 852554 1632922957 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.38310091942570657 0.4121789707992281 291954031 22159838 762081259 3236613.8327235 garoupinha 150.165.85.240 0:55:25.257 3325257
9 1 5 5 0 0 26332 26332 1.0000 86106 113556149 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.03372829859586712 0.036297111988080576 49993959 3807638 1482255586 779431.3653690001 garoupinha 150.165.85.240 0:09:42.824 582824
9 1 4 4 0 0 1682 1682 1.0000 19632 1863922 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.0026863251325957944 0.00275262421128109 1819028 44894 677143648 131197.245192 garoupinha 150.165.85.240 0:00:02.254 2254
9 5 62 62 0 0 160676 160676 1.0000 762407 840834048 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.21014922783094528 0.22544956669759367 313103369 22796123 1489909681 3573474.9326865 cofre 127.0.1.1 2:00:11.368 7211368
9 5 35 35 0 0 138480 138480 1.0000 658765 1286104223 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.3454518148863679 0.3698253608428961 249584444 17609570 722486996 2765514.8234340004 garoupinha 150.165.85.240 0:55:11.774 3311774
9 10 116 116 0 0 384559 384559 1.0000 1844858 2919777141 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.4410338498759244 0.4736307420205783 697177947 51528549 1580781038 7675394.353227001 lambaru 127.0.1.1 6:11:30.057 22290057
9 10 54 54 0 0 166740 166740 1.0000 975001 2030745882 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.41076839710763563 0.4407916289972983 302232523 22090300 735773553 3333302.2442745 garoupinha 150.165.85.240 1:25:01.966 5101966
10 1 9 9 0 0 31914 31914 1.0000 104762 118228913 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.05387279870932498 0.05753194767307084 62030876 4213262 1151432216 847530.430164 garoupinha 150.165.85.240 0:06:53.092 413092
10 1 6 6 0 0 4498 4498 1.0000 65081 9456351 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.011926594912522868 0.012648864871349433 8550319 517804 716911999 209140.2655335 garoupinha 150.165.85.240 0:00:03.963 3963
10 5 59 59 0 0 189084 189084 1.0000 812768 1059843003 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.2237634518250375 0.24019929339201457 339903799 24966566 1519031800 3865135.4082000004 cofre 127.0.1.1 2:29:11.151 8951151
10 5 15 15 0 0 40795 40795 1.0000 210010 235099216 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.10332585152507001 0.1102359839002645 77733405 5198584 752313229 946286.8437285001 garoupinha 150.165.85.240 0:05:45.841 345841
10 10 131 131 0 0 478335 478335 1.0000 2452225 4143857792 0.0000 0.0000 0.0000 0.0000 100 30 NA NA NA FALSE 0.5479522792851971 0.587948616751736 870054992 63507379 1587829862 9506641.144923 lambaru 127.0.1.1 9:32:27.563 34347563
10 10 68 68 0 0 199244 199244 1.0000 1146745 2125789409 0.0000 0.0000 0.0000 0.0000 50 30 NA NA NA FALSE 0.451604569400148 0.48490059561285703 346731410 25563909 767776576 3813558.458004 garoupinha 150.165.85.240 1:35:59.808 5759808
