nPeers nMachines nUsers instance beta eff rel_mksp rel_cost
 50 30  1 c1.medium 0.0000000000000000000000  2.2439551344915971142768  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.medium 0.1000000000000000055511  2.0323047348477358831076  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.medium 0.2000000000000000111022  1.8406172529025637274458  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.medium 0.3000000000000000444089  1.6670097813536830511083  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.medium 0.4000000000000000222045  1.5097770091781068657610  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.medium 0.5000000000000000000000  1.3673744707075425885989  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.medium 0.6000000000000000888178  1.2384033746550209276194  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.medium 0.7000000000000000666134  1.1215968640714539805714  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.medium 0.8000000000000000444089  1.0158075722664694495734  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.medium 0.9000000000000000222045  0.9199963524578481655070  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.medium 1.0000000000000000000000  0.8332220704431972935211  2.2439551344915971142768 0.8332220704431972935211
 50 30  1 c1.xlarge 0.0000000000000000000000  0.8407085490751133871612  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 c1.xlarge 0.1000000000000000055511  0.8485392053437614823252  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 c1.xlarge 0.2000000000000000111022  0.8564427991097920411789  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 c1.xlarge 0.3000000000000000444089  0.8644200097388095027640  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 c1.xlarge 0.4000000000000000222045  0.8724715229242681058253  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 c1.xlarge 0.5000000000000000000000  0.8805980307464139622553  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 c1.xlarge 0.6000000000000000888178  0.8888002317317729161772  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 c1.xlarge 0.7000000000000000666134  0.8970788309131934035179  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 c1.xlarge 0.8000000000000000444089  0.9054345398904481978519  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 c1.xlarge 0.9000000000000000222045  0.9138680768914025920324  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 c1.xlarge 1.0000000000000000000000  0.9223801668337492376537  0.8407085490751133871612 0.9223801668337492376537
 50 30  1 m1.large 0.0000000000000000000000  2.8072307544856651695397  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.large 0.1000000000000000055511  2.4450522151299858286677  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.large 0.2000000000000000111022  2.1296006126889897025478  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.large 0.3000000000000000444089  1.8548474104158212405480  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.large 0.4000000000000000222045  1.6155418510995371850214  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.large 0.5000000000000000000000  1.4071106108232438458572  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.large 0.6000000000000000888178  1.2255703990235855549429  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.large 0.7000000000000000666134  1.0674518345676169417402  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.large 0.8000000000000000444089  0.9297331430569597543467  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.large 0.9000000000000000222045  0.8097824082607993911864  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.large 1.0000000000000000000000  0.7053072740556114439414  2.8072307544856651695397 0.7053072740556115549637
 50 30  1 m1.small 0.0000000000000000000000 10.7879280749193853239376 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.small 0.1000000000000000055511  8.2285115533424146860852 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.small 0.2000000000000000111022  6.2763119955261252869150 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.small 0.3000000000000000444089  4.7872682695795809593164 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.small 0.4000000000000000222045  3.6514974878973225358436 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.small 0.5000000000000000000000  2.7851862802105729066682 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.small 0.6000000000000000888178  2.1244058475143972053445 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.small 0.7000000000000000666134  1.6203943833200828983365 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.small 0.8000000000000000444089  1.2359587319755183099090 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.small 0.9000000000000000222045  0.9427297470734194995146 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.small 1.0000000000000000000000  0.7190688111378767954918 10.7879280749193835475808 0.7190688111378766844695
 50 30  1 m1.xlarge 0.0000000000000000000000  1.6208475716473169647713  1.6208475716473169647713 0.9004642333369063944559
 50 30  1 m1.xlarge 0.1000000000000000055511  1.5283210821076100849325  1.6208475716473169647713 0.9004642333369063944559
 50 30  1 m1.xlarge 0.2000000000000000111022  1.4410764903948771742392  1.6208475716473169647713 0.9004642333369063944559
 50 30  1 m1.xlarge 0.3000000000000000444089  1.3588122780489102492396  1.6208475716473169647713 0.9004642333369063944559
